variant,effect,sweep_variable,sweep_value,trial_count,sample_count,label_count,clean_top1_mean,perturbed_top1_mean,top1_delta_mean,top1_drop_mean,top1_drop_p05,top1_drop_p50,top1_drop_p95,clean_top5_mean,perturbed_top5_mean,top5_delta_mean,top5_drop_mean,top5_drop_p05,top5_drop_p50,top5_drop_p95,prediction_change_rate_mean,prediction_change_rate_p05,prediction_change_rate_p50,prediction_change_rate_p95,mean_relative_error_mean,p95_relative_error,seeds,device,metric_kind,evidence_label,claim_boundary
MobileViT-XS,wdm_adjacent_crosstalk,crosstalk_alpha,0.03,1,1024,1024,70.8984,71.0938,0.1953,0.0000,0.0000,0.0000,0.0000,91.6992,91.7969,0.0977,0.0000,0.0000,0.0000,0.0000,1.1719,1.1719,1.1719,1.1719,,,20260706,mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,wdm_adjacent_crosstalk,crosstalk_alpha,0.05,1,1024,1024,70.8984,70.9961,0.0977,0.0000,0.0000,0.0000,0.0000,91.6992,91.8945,0.1953,0.0000,0.0000,0.0000,0.0000,2.3438,2.3438,2.3438,2.3438,,,20260706,mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,0.0,5,1024,1024,62.7930,62.7930,0.0000,0.0000,0.0000,0.0000,0.0000,87.5977,87.5977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,0.25,5,1024,1024,62.7930,62.9883,0.1953,0.0000,0.0000,0.0000,0.0000,87.5977,87.6172,0.0195,0.0000,0.0000,0.0000,0.0000,0.3320,0.1172,0.1953,0.6445,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,0.5,5,1024,1024,62.7930,63.0469,0.2539,0.0195,0.0000,0.0000,0.0782,87.5977,87.5781,-0.0195,0.0391,0.0000,0.0000,0.0977,0.7226,0.4101,0.5859,1.0742,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,1.0,5,1024,1024,62.7930,63.0664,0.2734,0.0000,0.0000,0.0000,0.0000,87.5977,87.5977,-0.0000,0.0781,0.0000,0.0000,0.2539,1.6016,1.0742,1.6602,2.1289,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,mrr_variation,sigma_percent,0.0,5,1024,1024,62.7930,62.7930,0.0000,0.0000,0.0000,0.0000,0.0000,87.5977,87.5977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,mrr_variation,sigma_percent,1.0,5,1024,1024,62.7930,63.0078,0.2148,0.0977,0.0000,0.0000,0.3320,87.5977,87.4805,-0.1172,0.1953,0.0000,0.0977,0.5859,2.1484,1.7773,2.1484,2.5196,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,mrr_variation,sigma_percent,3.0,5,1024,1024,62.7930,63.0078,0.2149,0.2734,0.0000,0.0000,0.6836,87.5977,87.3828,-0.2149,0.3711,0.0000,0.2930,0.8985,5.9961,5.4101,6.0547,6.5234,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XXS,mrr_variation,sigma_percent,5.0,5,1024,1024,62.7930,62.7734,-0.0196,0.5860,0.0000,0.2930,1.5235,87.5977,87.0508,-0.5469,0.6055,0.0000,0.6836,1.4062,9.2188,8.5156,9.2773,10.0977,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
