variant,effect,sweep_variable,sweep_value,trial_count,sample_count,new_error_rate_mean,new_error_rate_p05,new_error_rate_p50,new_error_rate_p95,recovery_rate_mean,recovery_rate_p05,recovery_rate_p50,recovery_rate_p95,net_top1_drop_mean,prediction_change_rate_mean,seeds,metric_definition,claim_boundary
MobileViT-XXS,mrr_variation,sigma_percent,3.0,5,1024,1.5039,1.1719,1.6602,1.7578,1.7188,0.9961,1.8555,2.6367,-0.2148,5.9961,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,mrr_variation,sigma_percent,5.0,5,1024,2.5000,1.8750,2.5391,2.9297,2.4805,1.3281,2.6367,3.6133,0.0195,9.2188,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,thermal_drift,delta_c,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,thermal_drift,delta_c,2.0,5,1024,0.7031,0.3320,0.5859,1.2500,0.6445,0.5078,0.5859,0.8398,0.0586,2.4414,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,thermal_drift,delta_c,5.0,5,1024,1.5820,1.0156,1.4648,2.4414,1.4062,1.0938,1.5625,1.6406,0.1758,6.2109,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,thermal_drift,delta_c,10.0,5,1024,3.2812,2.1289,2.9297,4.4922,2.6172,2.0703,2.7344,3.1641,0.6641,12.4805,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,wdm_adjacent_crosstalk,crosstalk_alpha,0.0,1,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,wdm_adjacent_crosstalk,crosstalk_alpha,0.01,1,1024,0.5859,0.5859,0.5859,0.5859,0.1953,0.1953,0.1953,0.1953,0.3906,1.2695,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,wdm_adjacent_crosstalk,crosstalk_alpha,0.03,1,1024,1.2695,1.2695,1.2695,1.2695,0.3906,0.3906,0.3906,0.3906,0.8789,2.6367,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,wdm_adjacent_crosstalk,crosstalk_alpha,0.05,1,1024,1.7578,1.7578,1.7578,1.7578,0.6836,0.6836,0.6836,0.6836,1.0742,3.9062,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
