model,model_name,input_shape,backend,precision,stage,op_group,op_type,execution_domain,pdpu_candidate,tokens,channels,embedding_dim,input_bytes,output_bytes,weight_bytes,output_elements,kernel_elements,groups,in_channels_actual,out_channels_actual,estimated_macs,nonlinear_ops,estimated_latency_share,estimated_energy_share,layer_name,module_type,trace_source,evidence_label
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.2.drop_path1,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,LayerNorm,electronic remainder,no,196,192,192,36864,36864,1152,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.2.norm2,LayerNorm,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,ffn_linear,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,73728,167040,18432,1,1,144,288,2654208,0,0.3437,0.3437,stages.4.1.transformer.2.mlp.fc1,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,SiLU,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,18432,8.0000,8.0000,stages.4.1.transformer.2.mlp.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.2.mlp.drop1,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,18432,8.0000,8.0000,stages.4.1.transformer.2.mlp.norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,ffn_linear,Linear,PDPU-candidate linear/MVM,yes,196,192,192,73728,36864,166464,9216,1,1,288,144,2654208,0,0.3437,0.3437,stages.4.1.transformer.2.mlp.fc2,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.2.mlp.drop2,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.2.ls2,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.2.drop_path2,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,LayerNorm,electronic remainder,no,196,192,192,36864,36864,1152,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.norm,LayerNorm,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,pointwise_conv,Conv2d 1x1,PDPU-extension candidate,extension,196,192,192,28224,18816,55296,4704,1,1,144,96,677376,0,0.0877,0.0877,stages.4.1.conv_proj.conv,Conv2d,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,18816,18816,0,4704,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.conv_proj.bn.drop,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,SiLU,electronic remainder,no,196,192,192,18816,18816,0,4704,1,1,0,0,0,4704,8.0000,8.0000,stages.4.1.conv_proj.bn.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,spatial_conv,Conv2d 3x3,PDPU-extension candidate,extension,196,192,192,37632,18816,663552,4704,9,1,192,96,8128512,0,1.0525,1.0525,stages.4.1.conv_fusion.conv,Conv2d,torch_hooks,local torch/timm hook trace; not edge evidence
